What is corona virus?,"Coronavirus disease (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus.

Most people infected with the virus will experience mild to moderate respiratory illness and recover without requiring special treatment. However, some will become seriously ill and require medical attention. Older people and those with underlying medical conditions like cardiovascular disease, diabetes, chronic respiratory disease, or cancer are more likely to develop serious illness. Anyone can get sick with COVID-19 and become seriously ill or die at any age. 

The best way to prevent and slow down transmission is to be well informed about the disease and how the virus spreads. Protect yourself and others from infection by staying at least 1 metre apart from others, wearing a properly fitted mask, and washing your hands or using an alcohol-based rub frequently. Get vaccinated when it’s your turn and follow local guidance.

The virus can spread from an infected person’s mouth or nose in small liquid particles when they cough, sneeze, speak, sing or breathe. These particles range from larger respiratory droplets to smaller aerosols. It is important to practice respiratory etiquette, for example by coughing into a flexed elbow, and to stay home and self-isolate until you recover if you feel unwell."
How does COVID-19 spread?,COVID-19 is most likely to spread from person-to-person through: 1.close contact with a person while they are infectious or in the 24 hours before their symptoms appeared 2. Close contact with a person with a confirmed infection who coughs or sneezes 3. Touching objects or surfaces (such as door handles or tables) contaminated from a cough or sneeze from a person with a confirmed infection and then touching your mouth or face.
Can I leave home?,All people are required to stay home unless it is absolutely necessary to go outside.
Should I be tested for COVID-19?,"If you feel any symptoms, please get tested either at a clinic or by the Home Test RTK Kit. Here is a link to purchase the RTK Home Kit for Malaysians : https://www.watsons.com.my/covid-19-rapid-antigen-home-test-kit-1-s/p/BP_39113"
Should I wear a face mask?,"Yes, it is absolutely crucial to wear a mask when surrounded by people and especially outdoors."
Should I be taking my kids out of childcare or school?,Schools and childcare are compeletly closed till furthure order as of now. Online lessons are encouraged.
What about working from home?,Citizens are encouraged to work from home where they can.
What about public transport like planes buses trains ride shares and taxis?,The Government recommends that employers offer flexible working arrangements to minimise the number of people catching public transport at any one time. Long distance services carry a higher risk of infection and should be reconsidered at this time.
What is the government doing to contain the spread of COVID-19?,The government is following the instructions of the WHO carefully and every level of public health machinery is aligned to it. The ministry of health is constantly updated about the numbers of cases and provides instructions to doctors and hospitals regarding the isolation and treatment of patients with the disease. The government has stopped the entry of people from countries affected by this disease by cancelling visas. Those who are suspected of having the disease are being tested. Quarantine facilities have been put into place in multiple locations. Ideally a mechanism for testing anyone who suspects they have the disease should be put in place but this is yet to happen.
Is this infection going to stay or disappear? Will warmer weather help to contain the virus spread? Will it reappear once colder weather returns?,This is particularly hard to predict. Some viral diseases (e.g. flu) are largely seasonal and tend to spread more easily in winters rather than in the heat of the summer. We have no idea as of now whether COVID-19 will fall into this category. It could vanish altogether after the summer or  perhaps more likely scenario — it could appear again in another wave. We simply don’t know yet.
